[info]
Anlage=SENA Bogota
Datum=180224
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;s;;%;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
[Start]
09:15:00;900;2;100;305.1;4.76;1452;220.5;6.32;1394;28;346;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:15:00;900;3;100;286.1;5.25;1503;221.5;6.52;1443;28;359;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:15:00;900;4;100;297.7;5.11;1520;222.7;6.55;1459;28;364;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:30:00;900;1;100;268.0;5.48;1469;223.6;6.30;1410;27;351;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:30:00;900;2;100;301.2;5.28;1589;220.4;6.92;1526;30;381;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:30:00;900;3;100;283.1;5.82;1648;221.4;7.14;1582;30;393;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:30:00;900;4;100;296.6;5.64;1672;222.5;7.21;1606;30;400;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:45:00;900;1;100;268.2;5.59;1500;222.4;6.47;1441;28;359;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:45:00;900;2;100;299.7;5.36;1607;219.2;7.03;1543;31;384;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:45:00;900;3;100;280.8;5.93;1667;220.2;7.26;1600;31;397;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:45:00;900;4;100;295.3;5.73;1692;221.3;7.33;1624;31;403;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:00:00;900;1;100;281.3;12.98;3650;226.6;15.45;3504;32;871;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:00:00;900;2;100;286.9;12.68;3631;222.3;15.67;3486;35;863;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:00:00;900;3;100;274.6;13.55;3718;223.2;15.98;3570;34;889;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:00:00;900;4;100;298.1;12.83;3827;225.5;16.29;3674;35;914;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:15:00;900;1;100;260.6;9.97;2612;224.9;11.13;2508;37;625;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:15:00;900;2;100;272.4;9.46;2565;221.3;11.11;2462;39;616;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:15:00;900;3;100;259.4;10.29;2663;222.1;11.49;2557;39;639;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:15:00;900;4;100;280.4;9.91;2785;223.8;11.92;2674;41;666;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:30:00;900;1;100;260.5;6.73;1756;223.3;7.54;1686;37;420;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:30:00;900;2;100;285.5;6.42;1833;220.0;7.99;1760;39;439;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:30:00;900;3;100;269.7;7.08;1908;221.0;8.28;1832;39;457;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:30:00;900;4;100;286.9;6.87;1973;222.3;8.51;1894;41;472;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:45:00;900;1;100;247.2;2.31;575;219.6;2.51;552;37;137;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:45:00;900;2;100;290.3;2.34;679;217.2;3.00;652;39;162;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:45:00;900;3;100;273.4;2.62;717;218.0;3.15;688;39;171;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:45:00;900;4;100;284.1;2.49;708;218.5;3.10;680;41;170;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:00:00;900;1;100;259.0;2.89;752;218.9;3.30;722;36;180;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:00:00;900;2;100;300.5;2.84;854;216.8;3.78;820;38;205;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:00:00;900;3;100;282.5;3.15;892;217.7;3.93;856;38;213;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:00:00;900;4;100;293.1;3.00;879;217.9;3.87;844;39;210;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:15:00;900;1;100;261.5;3.27;858;219.8;3.75;824;35;205;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:15:00;900;2;100;301.7;3.15;952;217.7;4.19;914;37;227;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:15:00;900;3;100;282.2;3.50;990;218.6;4.35;951;37;236;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:15:00;900;4;100;293.3;3.33;979;218.8;4.29;940;38;233;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:30:00;900;1;100;270.6;5.65;1529;221.6;6.62;1468;35;366;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:30:00;900;2;100;302.6;5.36;1623;219.1;7.11;1559;37;387;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:30:00;900;3;100;283.8;5.89;1672;220.1;7.29;1605;37;400;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:30:00;900;4;100;296.8;5.68;1686;220.6;7.33;1618;38;403;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:45:00;900;1;100;266.6;4.52;1211;221.8;5.24;1162;35;289;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:45:00;900;2;100;302.4;4.30;1303;219.6;5.69;1251;37;312;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:45:00;900;3;100;284.2;4.74;1350;220.6;5.87;1296;37;323;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:45:00;900;4;100;296.5;4.55;1352;220.7;5.87;1298;38;322;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:00:00;900;1;100;274.3;8.00;2195;224.2;9.39;2107;35;525;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:00:00;900;2;100;300.7;7.65;2299;221.7;9.95;2207;37;547;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:00:00;900;3;100;282.8;8.38;2369;222.5;10.22;2275;37;564;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:00:00;900;4;100;298.1;8.11;2417;223.2;10.39;2321;38;575;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:15:00;900;1;100;271.4;7.55;2052;224.8;8.75;1970;36;490;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:15:00;900;2;100;297.5;7.19;2138;222.5;9.22;2052;38;511;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:15:00;900;3;100;279.8;7.92;2217;223.3;9.52;2128;38;532;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:15:00;900;4;100;295.7;7.69;2274;223.8;9.75;2183;39;546;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:30:00;900;1;100;268.8;5.06;1362;223.6;5.84;1307;36;325;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:30:00;900;2;100;302.6;4.82;1458;221.4;6.32;1399;38;348;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:30:00;900;3;100;282.9;5.35;1514;222.4;6.53;1453;38;362;;;;;;;;;;;;;;;;;;;;;0;0;0.0
